case_id,method,split,event_year,stage_id,stage_index,status,error,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,method_detail,slot_support,training_cases
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T0_PRELIM,0,error,"LLM did not return valid JSON after retries across models ['gpt-4.1-mini']: APIConnectionError: Connection error. <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- gaierror: [Errno 8] nodename nor servname provided, or not known",,,,,,,,,,,,,,,,,,,,,
Boeing_737-8AS_9H-QAA_12-25,logodds,holdout,2024,T0_PRELIM,0,ok,,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.29779628,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.29779628,False,True,False,0.59637659,1.21134566,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,checklist,holdout,2024,T0_PRELIM,0,ok,,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.14429035,H_UND,H_UND,0.25009169,False,False,False,0.88708547,1.93592769,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 2, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,prior,holdout,2024,T0_PRELIM,0,ok,,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T1_EARLY,1,error,"LLM did not return valid JSON after retries across models ['gpt-4.1-mini']: APIConnectionError: Connection error. <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- gaierror: [Errno 8] nodename nor servname provided, or not known",,,,,,,,,,,,,,,,,,,,,
Boeing_737-8AS_9H-QAA_12-25,logodds,holdout,2024,T1_EARLY,1,ok,,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.2918229,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.2918229,False,True,False,0.60694293,1.23160816,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,checklist,holdout,2024,T1_EARLY,1,ok,,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.14429035,H_UND,H_UND,0.25009169,False,False,False,0.88708547,1.93592769,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 2, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,prior,holdout,2024,T1_EARLY,1,ok,,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T2_INTERIM,2,error,"LLM did not return valid JSON after retries across models ['gpt-4.1-mini']: APIConnectionError: Connection error. <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- gaierror: [Errno 8] nodename nor servname provided, or not known",,,,,,,,,,,,,,,,,,,,,
Boeing_737-8AS_9H-QAA_12-25,logodds,holdout,2024,T2_INTERIM,2,ok,,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.50656722,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.50656722,False,True,False,0.29521134,0.68009825,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,checklist,holdout,2024,T2_INTERIM,2,ok,,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.27699075,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27699075,False,True,False,0.62729085,1.28377117,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 3, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,prior,holdout,2024,T2_INTERIM,2,ok,,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,empirical_prior_v1,,0
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T3_PREFINAL,3,error,"LLM did not return valid JSON after retries across models ['gpt-4.1-mini']: APIConnectionError: Connection error. <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- ConnectError: [Errno 8] nodename nor servname provided, or not known <- gaierror: [Errno 8] nodename nor servname provided, or not known",,,,,,,,,,,,,,,,,,,,,
Boeing_737-8AS_9H-QAA_12-25,logodds,holdout,2024,T3_PREFINAL,3,ok,,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.71040558,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.71040558,False,True,False,0.10257668,0.34191924,fixed_logodds_v1,,
Boeing_737-8AS_9H-QAA_12-25,checklist,holdout,2024,T3_PREFINAL,3,ok,,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.27699075,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27699075,False,True,False,0.62729085,1.28377117,checklist_slots_v1,"{'R1_PUSHBACK_PROCEDURAL_DEVIATION': 3, 'R2_COMMUNICATION_BREAKDOWN': 1, 'R3_ENVIRONMENT_OR_MARKING_DEFICIENCY': 0, 'R4_MECHANICAL_CONTROL_FAILURE': 0}",
Boeing_737-8AS_9H-QAA_12-25,prior,holdout,2024,T3_PREFINAL,3,ok,,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16666667,,H_NOA|H_UND|R1_PUSHBACK_PROCEDURAL_DEVIATION|R2_COMMUNICATION_BREAKDOWN|R3_ENVIRONMENT_OR_MARKING_DEFICIENCY|R4_MECHANICAL_CONTROL_FAILURE,0.16666667,True,False,True,0.83333333,1.79175947,empirical_prior_v1,,0
